characterName,listFile,analysisFile
jacob marley,Books/A_Christmas_Carol/character_3_list.txt,
ebenezer scrooge,Books/A_Christmas_Carol/character_0_list.txt,
belle,Books/A_Christmas_Carol/character_9_list.txt,
peter cratchit,Books/A_Christmas_Carol/character_10_list.txt,
tiny tim,Books/A_Christmas_Carol/character_2_list.txt,
martha cratchit,Books/A_Christmas_Carol/character_11_list.txt,
fred,Books/A_Christmas_Carol/character_7_list.txt,
the ghost of christmas present,Books/A_Christmas_Carol/character_5_list.txt,
fan,Books/A_Christmas_Carol/character_12_list.txt,
the portly gentlemen,Books/A_Christmas_Carol/character_13_list.txt,
the ghost of christmas past,Books/A_Christmas_Carol/character_4_list.txt,
bob cratchit,Books/A_Christmas_Carol/character_1_list.txt,
fezziwig,Books/A_Christmas_Carol/character_8_list.txt,
mrs. cratchit,Books/A_Christmas_Carol/character_14_list.txt,
the ghost of christmas yet to come,Books/A_Christmas_Carol/character_6_list.txt,
