characterName,listFile,analysisFile
dr. valentini,Books/A_Farewell_to_Arms/character_7_list.txt,
gino,Books/A_Farewell_to_Arms/character_10_list.txt,
catherine barkley,Books/A_Farewell_to_Arms/character_1_list.txt,Books/A_Farewell_to_Arms/character_1_analysis.txt
ralph simmons,Books/A_Farewell_to_Arms/character_11_list.txt,
miss van campen,Books/A_Farewell_to_Arms/character_6_list.txt,
bonello,Books/A_Farewell_to_Arms/character_13_list.txt,
miss gage,Books/A_Farewell_to_Arms/character_5_list.txt,
rinaldi,Books/A_Farewell_to_Arms/character_2_list.txt,Books/A_Farewell_to_Arms/character_2_analysis.txt
emilio,Books/A_Farewell_to_Arms/character_12_list.txt,
the priest,Books/A_Farewell_to_Arms/character_3_list.txt,
ettore moretti,Books/A_Farewell_to_Arms/character_9_list.txt,
lieutenant frederic henry,Books/A_Farewell_to_Arms/character_0_list.txt,
helen ferguson,Books/A_Farewell_to_Arms/character_4_list.txt,
count greffi,Books/A_Farewell_to_Arms/character_8_list.txt,
