characterName,listFile,analysisFile
sydney carton,Books/A_Tale_of_Two_Cities/character_1_list.txt,Books/A_Tale_of_Two_Cities/character_1_analysis.txt
mr. stryver,Books/A_Tale_of_Two_Cities/character_10_list.txt,
madame defarge,Books/A_Tale_of_Two_Cities/character_5_list.txt,Books/A_Tale_of_Two_Cities/character_5_analysis.txt
doctor manette,Books/A_Tale_of_Two_Cities/character_2_list.txt,Books/A_Tale_of_Two_Cities/character_2_analysis.txt
monsieur defarge,Books/A_Tale_of_Two_Cities/character_4_list.txt,
jerry cruncher,Books/A_Tale_of_Two_Cities/character_7_list.txt,
roger cly,Books/A_Tale_of_Two_Cities/character_12_list.txt,
miss pross,Books/A_Tale_of_Two_Cities/character_8_list.txt,
john barsad,Books/A_Tale_of_Two_Cities/character_11_list.txt,
lucie manette,Books/A_Tale_of_Two_Cities/character_3_list.txt,
marquis evremonde,Books/A_Tale_of_Two_Cities/character_9_list.txt,
jarvis lorry,Books/A_Tale_of_Two_Cities/character_6_list.txt,
charles darnay,Books/A_Tale_of_Two_Cities/character_0_list.txt,
gabelle,Books/A_Tale_of_Two_Cities/character_13_list.txt,
