characterName,listFile,analysisFile
the mouse,Books/Alice_in_Wonderland/character_14_list.txt,
bill,Books/Alice_in_Wonderland/character_20_list.txt,
the cheshire cat,Books/Alice_in_Wonderland/character_4_list.txt,Books/Alice_in_Wonderland/character_4_analysis.txt
the queen of hearts,Books/Alice_in_Wonderland/character_2_list.txt,Books/Alice_in_Wonderland/character_2_analysis.txt
the frog-footman,Books/Alice_in_Wonderland/character_21_list.txt,
the mad hatter,Books/Alice_in_Wonderland/character_7_list.txt,
the duchess,Books/Alice_in_Wonderland/character_5_list.txt,
"the duck, the lory, and the eaglet",Books/Alice_in_Wonderland/character_16_list.txt,
the gryphon,Books/Alice_in_Wonderland/character_10_list.txt,
the mock turtle,Books/Alice_in_Wonderland/character_11_list.txt,
the march hare,Books/Alice_in_Wonderland/character_8_list.txt,
the king of hearts,Books/Alice_in_Wonderland/character_3_list.txt,
the knave of hearts,Books/Alice_in_Wonderland/character_13_list.txt,
the white rabbit,Books/Alice_in_Wonderland/character_1_list.txt,
the cook,Books/Alice_in_Wonderland/character_17_list.txt,
the caterpillar,Books/Alice_in_Wonderland/character_6_list.txt,
the dodo,Books/Alice_in_Wonderland/character_15_list.txt,
alice,Books/Alice_in_Wonderland/character_0_list.txt,Books/Alice_in_Wonderland/character_0_analysis.txt
"two, five, and seven",Books/Alice_in_Wonderland/character_19_list.txt,
the dormouse,Books/Alice_in_Wonderland/character_9_list.txt,
alice's sister,Books/Alice_in_Wonderland/character_12_list.txt,
the pigeon,Books/Alice_in_Wonderland/character_18_list.txt,
