characterName,listFile,analysisFile
emily brent,Books/And_Then_There_Were_None/character_5_list.txt,
vera claythorne,Books/And_Then_There_Were_None/character_1_list.txt,Books/And_Then_There_Were_None/character_1_analysis.txt
thomas rogers,Books/And_Then_There_Were_None/character_6_list.txt,
ethel rogers,Books/And_Then_There_Were_None/character_8_list.txt,
general john gordon macarthur,Books/And_Then_There_Were_None/character_7_list.txt,
philip lombard,Books/And_Then_There_Were_None/character_2_list.txt,Books/And_Then_There_Were_None/character_2_analysis.txt
dr. edward george armstrong,Books/And_Then_There_Were_None/character_3_list.txt,
william henry blore,Books/And_Then_There_Were_None/character_4_list.txt,
anthony marston,Books/And_Then_There_Were_None/character_9_list.txt,
isaac morris,Books/And_Then_There_Were_None/character_10_list.txt,
judge lawrence wargrave,Books/And_Then_There_Were_None/character_0_list.txt,
