characterName,listFile,analysisFile
benjamin,Books/Animal_Farm/character_8_list.txt,
clover,Books/Animal_Farm/character_5_list.txt,
jessie and bluebell,Books/Animal_Farm/character_14_list.txt,
mollie,Books/Animal_Farm/character_7_list.txt,
minimus,Books/Animal_Farm/character_15_list.txt,
squealer,Books/Animal_Farm/character_3_list.txt,Books/Animal_Farm/character_3_analysis.txt
mr. frederick,Books/Animal_Farm/character_11_list.txt,
snowball,Books/Animal_Farm/character_1_list.txt,Books/Animal_Farm/character_1_analysis.txt
boxer,Books/Animal_Farm/character_2_list.txt,Books/Animal_Farm/character_2_analysis.txt
muriel,Books/Animal_Farm/character_9_list.txt,
mr. whymper,Books/Animal_Farm/character_13_list.txt,
mr. pilkington,Books/Animal_Farm/character_12_list.txt,
mr. jones,Books/Animal_Farm/character_10_list.txt,
moses,Books/Animal_Farm/character_6_list.txt,
old major,Books/Animal_Farm/character_4_list.txt,Books/Animal_Farm/character_4_analysis.txt
napoleon,Books/Animal_Farm/character_0_list.txt,Books/Animal_Farm/character_0_analysis.txt
