characterName,listFile,analysisFile
mrs. spencer,Books/Anne_of_Green_Gables/character_25_list.txt,
mrs. peter blewett,Books/Anne_of_Green_Gables/character_21_list.txt,
josie pye,Books/Anne_of_Green_Gables/character_13_list.txt,
charlie sloane,Books/Anne_of_Green_Gables/character_15_list.txt,
gilbert blythe,Books/Anne_of_Green_Gables/character_4_list.txt,
mrs. hammond,Books/Anne_of_Green_Gables/character_20_list.txt,
mrs. allan,Books/Anne_of_Green_Gables/character_7_list.txt,
moody spurgeon macpherson,Books/Anne_of_Green_Gables/character_16_list.txt,
minnie may,Books/Anne_of_Green_Gables/character_11_list.txt,
mrs. rachel lynde,Books/Anne_of_Green_Gables/character_5_list.txt,
miss muriel stacy,Books/Anne_of_Green_Gables/character_6_list.txt,
mr. phillips,Books/Anne_of_Green_Gables/character_17_list.txt,
mrs. barry,Books/Anne_of_Green_Gables/character_9_list.txt,
diana barry,Books/Anne_of_Green_Gables/character_3_list.txt,
marilla cuthbert,Books/Anne_of_Green_Gables/character_1_list.txt,Books/Anne_of_Green_Gables/character_1_analysis.txt
anne shirley,Books/Anne_of_Green_Gables/character_0_list.txt,Books/Anne_of_Green_Gables/character_0_analysis.txt
mrs. thomas,Books/Anne_of_Green_Gables/character_19_list.txt,
prissy andrews,Books/Anne_of_Green_Gables/character_18_list.txt,
mr. bentley,Books/Anne_of_Green_Gables/character_23_list.txt,
mr. bell,Books/Anne_of_Green_Gables/character_22_list.txt,
aunt josephine,Books/Anne_of_Green_Gables/character_10_list.txt,
jane andrews,Books/Anne_of_Green_Gables/character_14_list.txt,
matthew cuthbert,Books/Anne_of_Green_Gables/character_2_list.txt,Books/Anne_of_Green_Gables/character_2_analysis.txt
mr. allan,Books/Anne_of_Green_Gables/character_8_list.txt,
john blythe,Books/Anne_of_Green_Gables/character_24_list.txt,
ruby gillis,Books/Anne_of_Green_Gables/character_12_list.txt,
