characterName,listFile,analysisFile
ismene,Books/Antigone/character_2_list.txt,
eurydice,Books/Antigone/character_11_list.txt,
haemon,Books/Antigone/character_3_list.txt,
page,Books/Antigone/character_10_list.txt,
chorus,Books/Antigone/character_5_list.txt,
creon,Books/Antigone/character_1_list.txt,Books/Antigone/character_1_analysis.txt
third guard,Books/Antigone/character_8_list.txt,
jonas,Books/Antigone/character_6_list.txt,
messenger,Books/Antigone/character_9_list.txt,
nurse,Books/Antigone/character_4_list.txt,
antigone,Books/Antigone/character_0_list.txt,Books/Antigone/character_0_analysis.txt
second guard,Books/Antigone/character_7_list.txt,
