characterName,listFile,analysisFile
timothy,Books/Bible_The_New_Testament/character_9_list.txt,
john the baptist,Books/Bible_The_New_Testament/character_3_list.txt,
mary magdalene,Books/Bible_The_New_Testament/character_4_list.txt,
"mary, mother of jesus",Books/Bible_The_New_Testament/character_10_list.txt,
jesus of nazareth,Books/Bible_The_New_Testament/character_0_list.txt,
judas iscariot,Books/Bible_The_New_Testament/character_7_list.txt,
paul of tarsus,Books/Bible_The_New_Testament/character_1_list.txt,
pontius pilate,Books/Bible_The_New_Testament/character_5_list.txt,
joseph,Books/Bible_The_New_Testament/character_11_list.txt,
herod the great,Books/Bible_The_New_Testament/character_14_list.txt,
caiaphas,Books/Bible_The_New_Testament/character_13_list.txt,
luke,Books/Bible_The_New_Testament/character_12_list.txt,
stephen,Books/Bible_The_New_Testament/character_8_list.txt,
peter,Books/Bible_The_New_Testament/character_2_list.txt,Books/Bible_The_New_Testament/character_2_analysis.txt
barnabas,Books/Bible_The_New_Testament/character_6_list.txt,
