characterName,listFile,analysisFile
joshua,Books/Bible_The_Old_Testament/character_13_list.txt,
noah,Books/Bible_The_Old_Testament/character_10_list.txt,
adam & eve,Books/Bible_The_Old_Testament/character_9_list.txt,
joab,Books/Bible_The_Old_Testament/character_17_list.txt,
absalom,Books/Bible_The_Old_Testament/character_16_list.txt,
god,Books/Bible_The_Old_Testament/character_0_list.txt,Books/Bible_The_Old_Testament/character_0_analysis.txt
aaron,Books/Bible_The_Old_Testament/character_12_list.txt,
joseph,Books/Bible_The_Old_Testament/character_5_list.txt,
isaac,Books/Bible_The_Old_Testament/character_11_list.txt,
samson,Books/Bible_The_Old_Testament/character_14_list.txt,
moses,Books/Bible_The_Old_Testament/character_2_list.txt,Books/Bible_The_Old_Testament/character_2_analysis.txt
esther,Books/Bible_The_Old_Testament/character_20_list.txt,
samuel,Books/Bible_The_Old_Testament/character_15_list.txt,
job,Books/Bible_The_Old_Testament/character_21_list.txt,
jacob,Books/Bible_The_Old_Testament/character_4_list.txt,
elijah & elisha,Books/Bible_The_Old_Testament/character_8_list.txt,
abraham,Books/Bible_The_Old_Testament/character_1_list.txt,
rehoboam & jeroboam,Books/Bible_The_Old_Testament/character_18_list.txt,
david,Books/Bible_The_Old_Testament/character_3_list.txt,Books/Bible_The_Old_Testament/character_3_analysis.txt
solomon,Books/Bible_The_Old_Testament/character_7_list.txt,
ahab & jezebel,Books/Bible_The_Old_Testament/character_19_list.txt,
saul,Books/Bible_The_Old_Testament/character_6_list.txt,
