characterName,listFile,analysisFile
the red whiskers,Books/Billy_Budd_Sailor/character_11_list.txt,
captain graveling,Books/Billy_Budd_Sailor/character_10_list.txt,
captain the honorable edward fairfax vere,Books/Billy_Budd_Sailor/character_1_list.txt,Books/Billy_Budd_Sailor/character_1_analysis.txt
ship's purser,Books/Billy_Budd_Sailor/character_5_list.txt,
albert,Books/Billy_Budd_Sailor/character_8_list.txt,
the dansker,Books/Billy_Budd_Sailor/character_3_list.txt,
billy budd,Books/Billy_Budd_Sailor/character_0_list.txt,Books/Billy_Budd_Sailor/character_0_analysis.txt
ship's chaplain,Books/Billy_Budd_Sailor/character_6_list.txt,
red pepper,Books/Billy_Budd_Sailor/character_12_list.txt,
ship's surgeon,Books/Billy_Budd_Sailor/character_4_list.txt,
squeak,Books/Billy_Budd_Sailor/character_7_list.txt,
lieutenant ratcliffe,Books/Billy_Budd_Sailor/character_9_list.txt,
john claggart,Books/Billy_Budd_Sailor/character_2_list.txt,Books/Billy_Budd_Sailor/character_2_analysis.txt
