characterName,listFile,analysisFile
bernard marx,Books/Brave_New_World/character_1_list.txt,Books/Brave_New_World/character_1_analysis.txt
the director,Books/Brave_New_World/character_8_list.txt,
mustapha mond,Books/Brave_New_World/character_4_list.txt,Books/Brave_New_World/character_4_analysis.txt
pope,Books/Brave_New_World/character_10_list.txt,
fanny crowne,Books/Brave_New_World/character_5_list.txt,
the arch-community-songster,Books/Brave_New_World/character_9_list.txt,
helmholtz watson,Books/Brave_New_World/character_2_list.txt,Books/Brave_New_World/character_2_analysis.txt
lenina crowne,Books/Brave_New_World/character_3_list.txt,
linda,Books/Brave_New_World/character_7_list.txt,
john,Books/Brave_New_World/character_0_list.txt,Books/Brave_New_World/character_0_analysis.txt
the warden,Books/Brave_New_World/character_11_list.txt,
henry foster,Books/Brave_New_World/character_6_list.txt,
