characterName,listFile,analysisFile
nikolay nikolayevich vedenyapin (kolya),Books/Dr._Zhivago/character_2_list.txt,
rodyon (rodya) fyodorovich guishar,Books/Dr._Zhivago/character_10_list.txt,
yury andreyevich zhivago,Books/Dr._Zhivago/character_0_list.txt,
larissa (lara) fyodorovna guishar (later antipova),Books/Dr._Zhivago/character_9_list.txt,
amalia karlovna guishar,Books/Dr._Zhivago/character_8_list.txt,
nicky dudorov,Books/Dr._Zhivago/character_3_list.txt,
"nadya kologrigova, kologrigov",Books/Dr._Zhivago/character_18_list.txt,
anfim yefimovitch samdevyatov,Books/Dr._Zhivago/character_14_list.txt,
liberius avercievich mikulitsin,Books/Dr._Zhivago/character_16_list.txt,
antonina (tonya) alexandrovna gromeko,Books/Dr._Zhivago/character_7_list.txt,
anna ivanovna gromeko (nee krueger),Books/Dr._Zhivago/character_6_list.txt,
avercius mikulitsin,Books/Dr._Zhivago/character_15_list.txt,
alexander alexandrovich gromeko,Books/Dr._Zhivago/character_5_list.txt,
iosif (yusupka) gimazetdinovich galiullin,Books/Dr._Zhivago/character_13_list.txt,
misha gordon,Books/Dr._Zhivago/character_4_list.txt,
marya nikolayevna zhivago,Books/Dr._Zhivago/character_1_list.txt,
victor ippolitovich komarovsky,Books/Dr._Zhivago/character_11_list.txt,
pavel pavlovich antipov or strelnikov,Books/Dr._Zhivago/character_12_list.txt,
kuprik tiverzin,Books/Dr._Zhivago/character_17_list.txt,
