characterName,listFile,analysisFile
kate morkan,Books/Dubliners/character_33_list.txt,
mrs. mooney,Books/Dubliners/character_11_list.txt,
mr. doran,Books/Dubliners/character_12_list.txt,
mat o'connor,Books/Dubliners/character_21_list.txt,
father flynn,Books/Dubliners/character_1_list.txt,
farrington,Books/Dubliners/character_15_list.txt,
mahony,Books/Dubliners/character_4_list.txt,
joe hynes,Books/Dubliners/character_22_list.txt,
gabriel conroy,Books/Dubliners/character_28_list.txt,
"""the sisters"" narrator",Books/Dubliners/character_0_list.txt,
old cotter,Books/Dubliners/character_2_list.txt,
michael furey,Books/Dubliners/character_34_list.txt,
mr. holohan,Books/Dubliners/character_25_list.txt,
julia morkan,Books/Dubliners/character_32_list.txt,
"""an encounter"" narrator",Books/Dubliners/character_3_list.txt,
eveline,Books/Dubliners/character_7_list.txt,
corley,Books/Dubliners/character_10_list.txt,
little chandler,Books/Dubliners/character_14_list.txt,
joe donnelly,Books/Dubliners/character_18_list.txt,
mr. alleyne,Books/Dubliners/character_16_list.txt,
jack power,Books/Dubliners/character_27_list.txt,
mangan's sister,Books/Dubliners/character_6_list.txt,
mrs. sinico,Books/Dubliners/character_20_list.txt,
mrs. kearney,Books/Dubliners/character_24_list.txt,
molly ivors,Books/Dubliners/character_31_list.txt,
maria,Books/Dubliners/character_17_list.txt,
jimmy doyle,Books/Dubliners/character_8_list.txt,
mr. duffy,Books/Dubliners/character_19_list.txt,
john henchy,Books/Dubliners/character_23_list.txt,
tom kernan,Books/Dubliners/character_26_list.txt,
lenehan,Books/Dubliners/character_9_list.txt,
lily,Books/Dubliners/character_30_list.txt,
"""araby"" narrator",Books/Dubliners/character_5_list.txt,Books/Dubliners/character_5_analysis.txt
gallaher,Books/Dubliners/character_13_list.txt,
gretta conroy,Books/Dubliners/character_29_list.txt,
