characterName,listFile,analysisFile
jane fairfax,Books/Emma/character_5_list.txt,Books/Emma/character_5_analysis.txt
harriet smith,Books/Emma/character_3_list.txt,
mrs. churchill,Books/Emma/character_14_list.txt,
frank churchill,Books/Emma/character_4_list.txt,Books/Emma/character_4_analysis.txt
miss bates,Books/Emma/character_10_list.txt,
mrs. dixon,Books/Emma/character_16_list.txt,
mr. weston,Books/Emma/character_7_list.txt,
mr. elton,Books/Emma/character_8_list.txt,
emma woodhouse,Books/Emma/character_0_list.txt,Books/Emma/character_0_analysis.txt
mrs. bates,Books/Emma/character_19_list.txt,
mr. robert martin,Books/Emma/character_9_list.txt,
mrs. elton,Books/Emma/character_13_list.txt,
elizabeth martin,Books/Emma/character_21_list.txt,
mrs. weston,Books/Emma/character_6_list.txt,
mr. woodhouse,Books/Emma/character_2_list.txt,
isabella knightley,Books/Emma/character_11_list.txt,
mr. john knightley,Books/Emma/character_12_list.txt,
mr. perry,Books/Emma/character_20_list.txt,
mr. george knightley,Books/Emma/character_1_list.txt,
colonel campbell,Books/Emma/character_15_list.txt,
mrs. goddard,Books/Emma/character_18_list.txt,
mr. dixon,Books/Emma/character_17_list.txt,
mr. and mrs. cole,Books/Emma/character_22_list.txt,
