characterName,listFile,analysisFile
the miss alans,Books/A_Room_with_a_View/character_8_list.txt,
miss lavish,Books/A_Room_with_a_View/character_9_list.txt,
cecil vyse,Books/A_Room_with_a_View/character_4_list.txt,
charlotte bartlett,Books/A_Room_with_a_View/character_1_list.txt,
sir harry otway,Books/A_Room_with_a_View/character_12_list.txt,
minnie,Books/A_Room_with_a_View/character_11_list.txt,
freddy,Books/A_Room_with_a_View/character_7_list.txt,
lucy honeychurch,Books/A_Room_with_a_View/character_0_list.txt,
mrs. honeychurch,Books/A_Room_with_a_View/character_5_list.txt,
mr. beebe,Books/A_Room_with_a_View/character_6_list.txt,
george emerson,Books/A_Room_with_a_View/character_2_list.txt,
mr. eager,Books/A_Room_with_a_View/character_10_list.txt,
mr. emerson,Books/A_Room_with_a_View/character_3_list.txt,
