characterName,listFile,analysisFile
sydney carton,Books/A_Tale_of_Two_Cities/character_1_list_cleaned.txt,Books/A_Tale_of_Two_Cities/character_1_analysis_cleaned.txt
mr. stryver,Books/A_Tale_of_Two_Cities/character_10_list_cleaned.txt,
madame defarge,Books/A_Tale_of_Two_Cities/character_5_list_cleaned.txt,Books/A_Tale_of_Two_Cities/character_5_analysis_cleaned.txt
doctor manette,Books/A_Tale_of_Two_Cities/character_2_list_cleaned.txt,Books/A_Tale_of_Two_Cities/character_2_analysis_cleaned.txt
monsieur defarge,Books/A_Tale_of_Two_Cities/character_4_list_cleaned.txt,
jerry cruncher,Books/A_Tale_of_Two_Cities/character_7_list_cleaned.txt,
roger cly,Books/A_Tale_of_Two_Cities/character_12_list_cleaned.txt,
miss pross,Books/A_Tale_of_Two_Cities/character_8_list_cleaned.txt,
john barsad,Books/A_Tale_of_Two_Cities/character_11_list_cleaned.txt,
lucie manette,Books/A_Tale_of_Two_Cities/character_3_list_cleaned.txt,
marquis evremonde,Books/A_Tale_of_Two_Cities/character_9_list_cleaned.txt,
jarvis lorry,Books/A_Tale_of_Two_Cities/character_6_list_cleaned.txt,
charles darnay,Books/A_Tale_of_Two_Cities/character_0_list_cleaned.txt,
gabelle,Books/A_Tale_of_Two_Cities/character_13_list_cleaned.txt,
