characterName,listFile,analysisFile
the mouse,Books/Alice_in_Wonderland/character_14_list_cleaned.txt,
bill,Books/Alice_in_Wonderland/character_20_list_cleaned.txt,
the cheshire cat,Books/Alice_in_Wonderland/character_4_list_cleaned.txt,Books/Alice_in_Wonderland/character_4_analysis_cleaned.txt
the queen of hearts,Books/Alice_in_Wonderland/character_2_list_cleaned.txt,Books/Alice_in_Wonderland/character_2_analysis_cleaned.txt
the frog-footman,Books/Alice_in_Wonderland/character_21_list_cleaned.txt,
the mad hatter,Books/Alice_in_Wonderland/character_7_list_cleaned.txt,
the duchess,Books/Alice_in_Wonderland/character_5_list_cleaned.txt,
"the duck, the lory, and the eaglet",Books/Alice_in_Wonderland/character_16_list_cleaned.txt,
the gryphon,Books/Alice_in_Wonderland/character_10_list_cleaned.txt,
the mock turtle,Books/Alice_in_Wonderland/character_11_list_cleaned.txt,
the march hare,Books/Alice_in_Wonderland/character_8_list_cleaned.txt,
the king of hearts,Books/Alice_in_Wonderland/character_3_list_cleaned.txt,
the knave of hearts,Books/Alice_in_Wonderland/character_13_list_cleaned.txt,
the white rabbit,Books/Alice_in_Wonderland/character_1_list_cleaned.txt,
the cook,Books/Alice_in_Wonderland/character_17_list_cleaned.txt,
the caterpillar,Books/Alice_in_Wonderland/character_6_list_cleaned.txt,
the dodo,Books/Alice_in_Wonderland/character_15_list_cleaned.txt,
alice,Books/Alice_in_Wonderland/character_0_list_cleaned.txt,Books/Alice_in_Wonderland/character_0_analysis_cleaned.txt
"two, five, and seven",Books/Alice_in_Wonderland/character_19_list_cleaned.txt,
the dormouse,Books/Alice_in_Wonderland/character_9_list_cleaned.txt,
alice's sister,Books/Alice_in_Wonderland/character_12_list_cleaned.txt,
the pigeon,Books/Alice_in_Wonderland/character_18_list_cleaned.txt,
