characterName,listFile,analysisFile
first lord,Books/Alls_Well_That_Ends_Well/character_6_list_cleaned.txt,
duke of florence,Books/Alls_Well_That_Ends_Well/character_11_list_cleaned.txt,
mariana,Books/Alls_Well_That_Ends_Well/character_10_list_cleaned.txt,
king of france,Books/Alls_Well_That_Ends_Well/character_3_list_cleaned.txt,
bertram,Books/Alls_Well_That_Ends_Well/character_1_list_cleaned.txt,
diana,Books/Alls_Well_That_Ends_Well/character_8_list_cleaned.txt,
clown,Books/Alls_Well_That_Ends_Well/character_12_list_cleaned.txt,
steward,Books/Alls_Well_That_Ends_Well/character_13_list_cleaned.txt,
parolles,Books/Alls_Well_That_Ends_Well/character_5_list_cleaned.txt,
helena,Books/Alls_Well_That_Ends_Well/character_0_list_cleaned.txt,
second lord,Books/Alls_Well_That_Ends_Well/character_7_list_cleaned.txt,
countess,Books/Alls_Well_That_Ends_Well/character_2_list_cleaned.txt,
lafew,Books/Alls_Well_That_Ends_Well/character_4_list_cleaned.txt,
widow,Books/Alls_Well_That_Ends_Well/character_9_list_cleaned.txt,
