characterName,listFile,analysisFile
emily brent,Books/And_Then_There_Were_None/character_5_list_cleaned.txt,
vera claythorne,Books/And_Then_There_Were_None/character_1_list_cleaned.txt,Books/And_Then_There_Were_None/character_1_analysis_cleaned.txt
thomas rogers,Books/And_Then_There_Were_None/character_6_list_cleaned.txt,
ethel rogers,Books/And_Then_There_Were_None/character_8_list_cleaned.txt,
general john gordon macarthur,Books/And_Then_There_Were_None/character_7_list_cleaned.txt,
philip lombard,Books/And_Then_There_Were_None/character_2_list_cleaned.txt,Books/And_Then_There_Were_None/character_2_analysis_cleaned.txt
dr. edward george armstrong,Books/And_Then_There_Were_None/character_3_list_cleaned.txt,
william henry blore,Books/And_Then_There_Were_None/character_4_list_cleaned.txt,
anthony marston,Books/And_Then_There_Were_None/character_9_list_cleaned.txt,
isaac morris,Books/And_Then_There_Were_None/character_10_list_cleaned.txt,
judge lawrence wargrave,Books/And_Then_There_Were_None/character_0_list_cleaned.txt,
