characterName,listFile,analysisFile
agafya mikhailovna,Books/Anna_Karenina/character_10_list_cleaned.txt,
alexei alexandrovich karenin,Books/Anna_Karenina/character_1_list_cleaned.txt,Books/Anna_Karenina/character_1_analysis_cleaned.txt
fyodor vassilyevich katavasov,Books/Anna_Karenina/character_23_list_cleaned.txt,
yashvin,Books/Anna_Karenina/character_21_list_cleaned.txt,
alexei kirillovich vronsky,Books/Anna_Karenina/character_2_list_cleaned.txt,Books/Anna_Karenina/character_2_analysis_cleaned.txt
elizaveta fyodorovna tverskaya (betsy),Books/Anna_Karenina/character_17_list_cleaned.txt,
anna arkadyevna karenina,Books/Anna_Karenina/character_0_list_cleaned.txt,Books/Anna_Karenina/character_0_analysis_cleaned.txt
sergei alexeich karenin (seryozha),Books/Anna_Karenina/character_7_list_cleaned.txt,
ekaterina alexandrovna shcherbatskaya (kitty),Books/Anna_Karenina/character_4_list_cleaned.txt,
varvara vronsky,Books/Anna_Karenina/character_13_list_cleaned.txt,
alexander kirillovich vronsky,Books/Anna_Karenina/character_12_list_cleaned.txt,
konstantin dmitrich levin,Books/Anna_Karenina/character_3_list_cleaned.txt,Books/Anna_Karenina/character_3_analysis_cleaned.txt
darya alexandrovna oblonskaya (dolly),Books/Anna_Karenina/character_6_list_cleaned.txt,
nikolai dmitrich levin,Books/Anna_Karenina/character_8_list_cleaned.txt,
prince alexander dmitrievich shcherbatsky,Books/Anna_Karenina/character_14_list_cleaned.txt,
countess vronsky,Books/Anna_Karenina/character_11_list_cleaned.txt,
landau,Books/Anna_Karenina/character_25_list_cleaned.txt,
marya nikolaevna,Books/Anna_Karenina/character_18_list_cleaned.txt,
nikolai ivanovich sviyazhsky,Books/Anna_Karenina/character_22_list_cleaned.txt,
vasenka veslovsky,Books/Anna_Karenina/character_24_list_cleaned.txt,
madame stahl,Books/Anna_Karenina/character_19_list_cleaned.txt,
sergei ivanovich koznyshev,Books/Anna_Karenina/character_9_list_cleaned.txt,
countess lydia ivanovna,Books/Anna_Karenina/character_16_list_cleaned.txt,
stepan arkadyich oblonsky (stiva),Books/Anna_Karenina/character_5_list_cleaned.txt,Books/Anna_Karenina/character_5_analysis_cleaned.txt
varvara andreevna (varenka),Books/Anna_Karenina/character_20_list_cleaned.txt,
princess shcherbatskaya,Books/Anna_Karenina/character_15_list_cleaned.txt,
