characterName,listFile,analysisFile
mrs. spencer,Books/Anne_of_Green_Gables/character_25_list_cleaned.txt,
mrs. peter blewett,Books/Anne_of_Green_Gables/character_21_list_cleaned.txt,
josie pye,Books/Anne_of_Green_Gables/character_13_list_cleaned.txt,
charlie sloane,Books/Anne_of_Green_Gables/character_15_list_cleaned.txt,
gilbert blythe,Books/Anne_of_Green_Gables/character_4_list_cleaned.txt,
mrs. hammond,Books/Anne_of_Green_Gables/character_20_list_cleaned.txt,
mrs. allan,Books/Anne_of_Green_Gables/character_7_list_cleaned.txt,
moody spurgeon macpherson,Books/Anne_of_Green_Gables/character_16_list_cleaned.txt,
minnie may,Books/Anne_of_Green_Gables/character_11_list_cleaned.txt,
mrs. rachel lynde,Books/Anne_of_Green_Gables/character_5_list_cleaned.txt,
miss muriel stacy,Books/Anne_of_Green_Gables/character_6_list_cleaned.txt,
mr. phillips,Books/Anne_of_Green_Gables/character_17_list_cleaned.txt,
mrs. barry,Books/Anne_of_Green_Gables/character_9_list_cleaned.txt,
diana barry,Books/Anne_of_Green_Gables/character_3_list_cleaned.txt,
marilla cuthbert,Books/Anne_of_Green_Gables/character_1_list_cleaned.txt,Books/Anne_of_Green_Gables/character_1_analysis_cleaned.txt
anne shirley,Books/Anne_of_Green_Gables/character_0_list_cleaned.txt,Books/Anne_of_Green_Gables/character_0_analysis_cleaned.txt
mrs. thomas,Books/Anne_of_Green_Gables/character_19_list_cleaned.txt,
prissy andrews,Books/Anne_of_Green_Gables/character_18_list_cleaned.txt,
mr. bentley,Books/Anne_of_Green_Gables/character_23_list_cleaned.txt,
mr. bell,Books/Anne_of_Green_Gables/character_22_list_cleaned.txt,
aunt josephine,Books/Anne_of_Green_Gables/character_10_list_cleaned.txt,
jane andrews,Books/Anne_of_Green_Gables/character_14_list_cleaned.txt,
matthew cuthbert,Books/Anne_of_Green_Gables/character_2_list_cleaned.txt,Books/Anne_of_Green_Gables/character_2_analysis_cleaned.txt
mr. allan,Books/Anne_of_Green_Gables/character_8_list_cleaned.txt,
john blythe,Books/Anne_of_Green_Gables/character_24_list_cleaned.txt,
ruby gillis,Books/Anne_of_Green_Gables/character_12_list_cleaned.txt,
