characterName,listFile,analysisFile
theseus,Books/Antigone_The_Oediupus_Plays/character_8_list.txt,
ismene,Books/Antigone_The_Oediupus_Plays/character_7_list.txt,
eurydice,Books/Antigone_The_Oediupus_Plays/character_10_list.txt,
haemon,Books/Antigone_The_Oediupus_Plays/character_6_list.txt,
creon,Books/Antigone_The_Oediupus_Plays/character_3_list.txt,Books/Antigone_The_Oediupus_Plays/character_3_analysis.txt
polynices,Books/Antigone_The_Oediupus_Plays/character_4_list.txt,
chorus,Books/Antigone_The_Oediupus_Plays/character_9_list.txt,
tiresias,Books/Antigone_The_Oediupus_Plays/character_5_list.txt,
oedipus,Books/Antigone_The_Oediupus_Plays/character_0_list.txt,Books/Antigone_The_Oediupus_Plays/character_0_analysis.txt
jocasta,Books/Antigone_The_Oediupus_Plays/character_1_list.txt,
antigone,Books/Antigone_The_Oediupus_Plays/character_2_list.txt,Books/Antigone_The_Oediupus_Plays/character_2_analysis.txt
