characterName,listFile,analysisFile
decretas,Books/Antony_and_Cleopatra/character_20_list_cleaned.txt,
diomedes,Books/Antony_and_Cleopatra/character_15_list_cleaned.txt,
menas,Books/Antony_and_Cleopatra/character_17_list_cleaned.txt,
eros,Books/Antony_and_Cleopatra/character_16_list_cleaned.txt,
ventidius,Books/Antony_and_Cleopatra/character_12_list_cleaned.txt,
agrippa,Books/Antony_and_Cleopatra/character_10_list_cleaned.txt,
cleopatra,Books/Antony_and_Cleopatra/character_1_list_cleaned.txt,Books/Antony_and_Cleopatra/character_1_list_cleaned.txt
proculeius,Books/Antony_and_Cleopatra/character_14_list_cleaned.txt,
scarus,Books/Antony_and_Cleopatra/character_13_list_cleaned.txt,
enobarbus,Books/Antony_and_Cleopatra/character_3_list_cleaned.txt,
marcus aemilius lepidus,Books/Antony_and_Cleopatra/character_4_list_cleaned.txt,
pompey,Books/Antony_and_Cleopatra/character_5_list_cleaned.txt,
octavia,Books/Antony_and_Cleopatra/character_6_list_cleaned.txt,
clown,Books/Antony_and_Cleopatra/character_19_list_cleaned.txt,
camidius,Books/Antony_and_Cleopatra/character_11_list_cleaned.txt,
charmian and iras,Books/Antony_and_Cleopatra/character_7_list_cleaned.txt,
seleucus,Books/Antony_and_Cleopatra/character_18_list_cleaned.txt,
antony,Books/Antony_and_Cleopatra/character_0_list_cleaned.txt,Books/Antony_and_Cleopatra/character_0_list_cleaned.txt
octavius caesar,Books/Antony_and_Cleopatra/character_2_list_cleaned.txt,Books/Antony_and_Cleopatra/character_2_list_cleaned.txt
the soothsayer,Books/Antony_and_Cleopatra/character_8_list_cleaned.txt,
dolabella,Books/Antony_and_Cleopatra/character_9_list_cleaned.txt,
