characterName,listFile,analysisFile
dewey dell bundren,Books/As_I_Lay_Dying/character_5_list.txt,
whitfield,Books/As_I_Lay_Dying/character_10_list.txt,
anse bundren,Books/As_I_Lay_Dying/character_1_list.txt,
moseley,Books/As_I_Lay_Dying/character_15_list.txt,
macgowan,Books/As_I_Lay_Dying/character_16_list.txt,
jewel,Books/As_I_Lay_Dying/character_3_list.txt,Books/As_I_Lay_Dying/character_3_analysis.txt
peabody,Books/As_I_Lay_Dying/character_11_list.txt,
vardaman bundren,Books/As_I_Lay_Dying/character_6_list.txt,
armstid,Books/As_I_Lay_Dying/character_13_list.txt,
cash bundren,Books/As_I_Lay_Dying/character_4_list.txt,
darl bundren,Books/As_I_Lay_Dying/character_2_list.txt,Books/As_I_Lay_Dying/character_2_analysis.txt
the gillespie boy,Books/As_I_Lay_Dying/character_17_list.txt,
samson,Books/As_I_Lay_Dying/character_12_list.txt,
addie bundren,Books/As_I_Lay_Dying/character_0_list.txt,Books/As_I_Lay_Dying/character_0_analysis.txt
cora tull,Books/As_I_Lay_Dying/character_8_list.txt,
lafe,Books/As_I_Lay_Dying/character_9_list.txt,
vernon tull,Books/As_I_Lay_Dying/character_7_list.txt,
gillespie,Books/As_I_Lay_Dying/character_14_list.txt,
