characterName,listFile,analysisFile
the overbrooks,Books/Babbitt/character_31_list_cleaned.txt,
the doppelbraus,Books/Babbitt/character_13_list_cleaned.txt,
joseph k. pumphrey,Books/Babbitt/character_35_list_cleaned.txt,
the mckelveys,Books/Babbitt/character_28_list_cleaned.txt,
joe paradise,Books/Babbitt/character_32_list_cleaned.txt,
kenneth escott,Books/Babbitt/character_16_list_cleaned.txt,
zilla riesling,Books/Babbitt/character_7_list_cleaned.txt,
may arnold,Books/Babbitt/character_8_list_cleaned.txt,
vergil gunch,Books/Babbitt/character_20_list_cleaned.txt,
ida putiak,Books/Babbitt/character_33_list_cleaned.txt,
paul riesling,Books/Babbitt/character_6_list_cleaned.txt,
jake offutt,Books/Babbitt/character_30_list_cleaned.txt,
eunice littlefield,Books/Babbitt/character_24_list_cleaned.txt,
dr. kurt yavitch,Books/Babbitt/character_43_list_cleaned.txt,
reverend john jennison drew,Books/Babbitt/character_14_list_cleaned.txt,
t. cholmondeley frink,Books/Babbitt/character_18_list_cleaned.txt,
mike monday,Books/Babbitt/character_29_list_cleaned.txt,
william washington eathorne,Books/Babbitt/character_15_list_cleaned.txt,
chester kirby laylock,Books/Babbitt/character_23_list_cleaned.txt,
healey hanson,Books/Babbitt/character_21_list_cleaned.txt,
tinka babbitt,Books/Babbitt/character_3_list_cleaned.txt,
archibald purdy,Books/Babbitt/character_36_list_cleaned.txt,
colonel rutherford snow,Books/Babbitt/character_39_list_cleaned.txt,
seneca doane,Books/Babbitt/character_12_list_cleaned.txt,
eddie swanson,Books/Babbitt/character_40_list_cleaned.txt,
conrad lyte,Books/Babbitt/character_26_list_cleaned.txt,
dr. dilling,Books/Babbitt/character_10_list_cleaned.txt,
lucas prout,Books/Babbitt/character_34_list_cleaned.txt,
cecil rountree,Books/Babbitt/character_37_list_cleaned.txt,
george f. babbitt,Books/Babbitt/character_0_list_cleaned.txt,
noel ryland,Books/Babbitt/character_38_list_cleaned.txt,
louetta swanson,Books/Babbitt/character_41_list_cleaned.txt,
sidney finkelstein,Books/Babbitt/character_17_list_cleaned.txt,
stanley graff,Books/Babbitt/character_19_list_cleaned.txt,
"""the bunch""",Books/Babbitt/character_9_list_cleaned.txt,
miss mcgoun,Books/Babbitt/character_27_list_cleaned.txt,
myra babbitt,Books/Babbitt/character_1_list_cleaned.txt,
horace updike,Books/Babbitt/character_42_list_cleaned.txt,
sir gerald doak,Books/Babbitt/character_11_list_cleaned.txt,
henry t. thompson,Books/Babbitt/character_5_list_cleaned.txt,
verona babbitt,Books/Babbitt/character_4_list_cleaned.txt,
tanis judique,Books/Babbitt/character_22_list_cleaned.txt,
howard littlefield,Books/Babbitt/character_25_list_cleaned.txt,
ted babbitt,Books/Babbitt/character_2_list_cleaned.txt,
