characterName,listFile,analysisFile
marion peters,Books/Babylon_Revisited/character_2_list_cleaned.txt,Books/Babylon_Revisited/character_2_analysis_cleaned.txt
elsie and richard peters,Books/Babylon_Revisited/character_7_list_cleaned.txt,
charlie wales,Books/Babylon_Revisited/character_0_list_cleaned.txt,Books/Babylon_Revisited/character_0_analysis_cleaned.txt
lincoln peters,Books/Babylon_Revisited/character_3_list_cleaned.txt,
lorraine quarrles,Books/Babylon_Revisited/character_5_list_cleaned.txt,
alix,Books/Babylon_Revisited/character_9_list_cleaned.txt,
helen,Books/Babylon_Revisited/character_4_list_cleaned.txt,
duncan schaeffer,Books/Babylon_Revisited/character_6_list_cleaned.txt,
paul,Books/Babylon_Revisited/character_8_list_cleaned.txt,
honoria wales,Books/Babylon_Revisited/character_1_list_cleaned.txt,
