characterName,listFile,analysisFile
king heremod,Books/Beowulf/character_21_list.txt,
halfdane,Books/Beowulf/character_7_list.txt,
wiglaf,Books/Beowulf/character_16_list.txt,Books/Beowulf/character_16_analysis.txt
unferth,Books/Beowulf/character_9_list.txt,Books/Beowulf/character_9_analysis.txt
hrothmund,Books/Beowulf/character_11_list.txt,
wealhtheow,Books/Beowulf/character_8_list.txt,
grendel,Books/Beowulf/character_2_list.txt,Books/Beowulf/character_2_analysis.txt
queen modthryth,Books/Beowulf/character_22_list.txt,
hrethric,Books/Beowulf/character_10_list.txt,
the dragon,Books/Beowulf/character_4_list.txt,
hygelac,Books/Beowulf/character_14_list.txt,
king hrethel,Books/Beowulf/character_18_list.txt,
shield sheafson,Books/Beowulf/character_5_list.txt,
beow,Books/Beowulf/character_6_list.txt,
aeschere,Books/Beowulf/character_13_list.txt,
sigemund,Books/Beowulf/character_20_list.txt,
hygd,Books/Beowulf/character_15_list.txt,
king hrothgar,Books/Beowulf/character_1_list.txt,
breca,Books/Beowulf/character_19_list.txt,
beowulf,Books/Beowulf/character_0_list.txt,Books/Beowulf/character_0_analysis.txt
ecgtheow,Books/Beowulf/character_17_list.txt,
hrothulf,Books/Beowulf/character_12_list.txt,
grendel's mother,Books/Beowulf/character_3_list.txt,
