characterName,listFile,analysisFile
timothy,Books/Bible_The_New_Testament/character_9_list_cleaned.txt,
john the baptist,Books/Bible_The_New_Testament/character_3_list_cleaned.txt,
mary magdalene,Books/Bible_The_New_Testament/character_4_list_cleaned.txt,
"mary, mother of jesus",Books/Bible_The_New_Testament/character_10_list_cleaned.txt,
jesus of nazareth,Books/Bible_The_New_Testament/character_0_list_cleaned.txt,
judas iscariot,Books/Bible_The_New_Testament/character_7_list_cleaned.txt,
paul of tarsus,Books/Bible_The_New_Testament/character_1_list_cleaned.txt,
pontius pilate,Books/Bible_The_New_Testament/character_5_list_cleaned.txt,
joseph,Books/Bible_The_New_Testament/character_11_list_cleaned.txt,
herod the great,Books/Bible_The_New_Testament/character_14_list_cleaned.txt,
caiaphas,Books/Bible_The_New_Testament/character_13_list_cleaned.txt,
luke,Books/Bible_The_New_Testament/character_12_list_cleaned.txt,
stephen,Books/Bible_The_New_Testament/character_8_list_cleaned.txt,
peter,Books/Bible_The_New_Testament/character_2_list_cleaned.txt,Books/Bible_The_New_Testament/character_2_analysis_cleaned.txt
barnabas,Books/Bible_The_New_Testament/character_6_list_cleaned.txt,
