characterName,listFile,analysisFile
joshua,Books/Bible_The_Old_Testament/character_13_list_cleaned.txt,
noah,Books/Bible_The_Old_Testament/character_10_list_cleaned.txt,
adam & eve,Books/Bible_The_Old_Testament/character_9_list_cleaned.txt,
joab,Books/Bible_The_Old_Testament/character_17_list_cleaned.txt,
absalom,Books/Bible_The_Old_Testament/character_16_list_cleaned.txt,
god,Books/Bible_The_Old_Testament/character_0_list_cleaned.txt,Books/Bible_The_Old_Testament/character_0_analysis_cleaned.txt
aaron,Books/Bible_The_Old_Testament/character_12_list_cleaned.txt,
joseph,Books/Bible_The_Old_Testament/character_5_list_cleaned.txt,
isaac,Books/Bible_The_Old_Testament/character_11_list_cleaned.txt,
samson,Books/Bible_The_Old_Testament/character_14_list_cleaned.txt,
moses,Books/Bible_The_Old_Testament/character_2_list_cleaned.txt,Books/Bible_The_Old_Testament/character_2_analysis_cleaned.txt
esther,Books/Bible_The_Old_Testament/character_20_list_cleaned.txt,
samuel,Books/Bible_The_Old_Testament/character_15_list_cleaned.txt,
job,Books/Bible_The_Old_Testament/character_21_list_cleaned.txt,
jacob,Books/Bible_The_Old_Testament/character_4_list_cleaned.txt,
elijah & elisha,Books/Bible_The_Old_Testament/character_8_list_cleaned.txt,
abraham,Books/Bible_The_Old_Testament/character_1_list_cleaned.txt,
rehoboam & jeroboam,Books/Bible_The_Old_Testament/character_18_list_cleaned.txt,
david,Books/Bible_The_Old_Testament/character_3_list_cleaned.txt,Books/Bible_The_Old_Testament/character_3_analysis_cleaned.txt
solomon,Books/Bible_The_Old_Testament/character_7_list_cleaned.txt,
ahab & jezebel,Books/Bible_The_Old_Testament/character_19_list_cleaned.txt,
saul,Books/Bible_The_Old_Testament/character_6_list_cleaned.txt,
