characterName,listFile,analysisFile
mr. william guppy,Books/Bleak_House/character_18_list_cleaned.txt,
mrs. jellyby,Books/Bleak_House/character_22_list_cleaned.txt,
mr. tony jobling (mr. weevle),Books/Bleak_House/character_27_list_cleaned.txt,
mr. gridley,Books/Bleak_House/character_17_list_cleaned.txt,
caroline (caddy) jellyby,Books/Bleak_House/character_24_list_cleaned.txt,
mrs. rouncewell,Books/Bleak_House/character_35_list_cleaned.txt,
miss flite,Books/Bleak_House/character_16_list_cleaned.txt,
richard carstone,Books/Bleak_House/character_3_list_cleaned.txt,
ada clare,Books/Bleak_House/character_2_list_cleaned.txt,
allan woodcourt,Books/Bleak_House/character_48_list_cleaned.txt,
mr. vholes,Books/Bleak_House/character_47_list_cleaned.txt,
jenny,Books/Bleak_House/character_25_list_cleaned.txt,
sir leicester dedlock,Books/Bleak_House/character_5_list_cleaned.txt,
mr. george rouncewell,Books/Bleak_House/character_33_list_cleaned.txt,
mr. matthew bagnet,Books/Bleak_House/character_9_list_cleaned.txt,
rosa,Books/Bleak_House/character_32_list_cleaned.txt,
volumnia dedlock,Books/Bleak_House/character_15_list_cleaned.txt,
mr. watt rouncewell,Books/Bleak_House/character_36_list_cleaned.txt,
grandfather smallweed,Books/Bleak_House/character_40_list_cleaned.txt,
mr. chadband,Books/Bleak_House/character_13_list_cleaned.txt,
judy smallweed,Books/Bleak_House/character_39_list_cleaned.txt,
mr. lawrence boythorn,Books/Bleak_House/character_12_list_cleaned.txt,
phil squod,Books/Bleak_House/character_44_list_cleaned.txt,
harold skimpole,Books/Bleak_House/character_37_list_cleaned.txt,
mrs. bagnet,Books/Bleak_House/character_10_list_cleaned.txt,
mrs. woodcourt,Books/Bleak_House/character_49_list_cleaned.txt,
mrs. baytham badger,Books/Bleak_House/character_7_list_cleaned.txt,
mr. rouncewell,Books/Bleak_House/character_34_list_cleaned.txt,
mademoiselle hortense,Books/Bleak_House/character_21_list_cleaned.txt,
prince turveydrop,Books/Bleak_House/character_46_list_cleaned.txt,
mrs. rachael chadband,Books/Bleak_House/character_14_list_cleaned.txt,
captain hawdon (nemo),Books/Bleak_House/character_20_list_cleaned.txt,
guster,Books/Bleak_House/character_19_list_cleaned.txt,
jo,Books/Bleak_House/character_26_list_cleaned.txt,
mr. turveydrop,Books/Bleak_House/character_45_list_cleaned.txt,
lady dedlock,Books/Bleak_House/character_4_list_cleaned.txt,Books/Bleak_House/character_4_analysis_cleaned.txt
mrs. pardiggle,Books/Bleak_House/character_31_list_cleaned.txt,
bartholomew (chick) smallweed,Books/Bleak_House/character_38_list_cleaned.txt,
mr. snagsby,Books/Bleak_House/character_42_list_cleaned.txt,
mr. krook,Books/Bleak_House/character_28_list_cleaned.txt,
mr. badger,Books/Bleak_House/character_8_list_cleaned.txt,
mr. jellyby,Books/Bleak_House/character_23_list_cleaned.txt,
esther summerson,Books/Bleak_House/character_0_list_cleaned.txt,Books/Bleak_House/character_0_analysis_cleaned.txt
mr. john jarndyce,Books/Bleak_House/character_1_list_cleaned.txt,
grandmother smallweed,Books/Bleak_House/character_41_list_cleaned.txt,
charlotte (charley) neckett,Books/Bleak_House/character_30_list_cleaned.txt,
mr. tulkinghorn,Books/Bleak_House/character_6_list_cleaned.txt,
liz,Books/Bleak_House/character_29_list_cleaned.txt,
inspector bucket,Books/Bleak_House/character_11_list_cleaned.txt,
mrs. snagsby,Books/Bleak_House/character_43_list_cleaned.txt,
