characterName,listFile,analysisFile
bernard marx,Books/Brave_New_World/character_1_list_cleaned.txt,Books/Brave_New_World/character_1_analysis_cleaned.txt
the director,Books/Brave_New_World/character_8_list_cleaned.txt,
mustapha mond,Books/Brave_New_World/character_4_list_cleaned.txt,Books/Brave_New_World/character_4_analysis_cleaned.txt
pope,Books/Brave_New_World/character_10_list_cleaned.txt,
fanny crowne,Books/Brave_New_World/character_5_list_cleaned.txt,
the arch-community-songster,Books/Brave_New_World/character_9_list_cleaned.txt,
helmholtz watson,Books/Brave_New_World/character_2_list_cleaned.txt,Books/Brave_New_World/character_2_analysis_cleaned.txt
lenina crowne,Books/Brave_New_World/character_3_list_cleaned.txt,
linda,Books/Brave_New_World/character_7_list_cleaned.txt,
john,Books/Brave_New_World/character_0_list_cleaned.txt,Books/Brave_New_World/character_0_analysis_cleaned.txt
the warden,Books/Brave_New_World/character_11_list_cleaned.txt,
henry foster,Books/Brave_New_World/character_6_list_cleaned.txt,
