characterName,listFile,analysisFile
valeria,Books/Coriolanus/character_9_list_cleaned.txt,
menenius,Books/Coriolanus/character_2_list_cleaned.txt,
cominius,Books/Coriolanus/character_6_list_cleaned.txt,
virgilia,Books/Coriolanus/character_8_list_cleaned.txt,
volumnia,Books/Coriolanus/character_1_list_cleaned.txt,
tullus aufidius,Books/Coriolanus/character_5_list_cleaned.txt,
titus lartius,Books/Coriolanus/character_7_list_cleaned.txt,
young martius,Books/Coriolanus/character_10_list_cleaned.txt,
caius martius,Books/Coriolanus/character_0_list_cleaned.txt,
brutus,Books/Coriolanus/character_3_list_cleaned.txt,
sicinius,Books/Coriolanus/character_4_list_cleaned.txt,
