characterName,listFile,analysisFile
"rodion romanovich raskolnikov (rodya, rodka)",Books/Crime_and_Punishment/character_0_list_cleaned.txt,Books/Crime_and_Punishment/character_0_analysis_cleaned.txt
andrei semyonovich lebezyatnikov,Books/Crime_and_Punishment/character_10_list_cleaned.txt,
alexander grigorievich zamyotov,Books/Crime_and_Punishment/character_16_list_cleaned.txt,
zossimov,Books/Crime_and_Punishment/character_13_list_cleaned.txt,
dmitri prokofych razumikhin,Books/Crime_and_Punishment/character_4_list_cleaned.txt,
lizaveta ivanovna,Books/Crime_and_Punishment/character_12_list_cleaned.txt,
"sofya semyonovna marmeladov (sonya, sonechka)",Books/Crime_and_Punishment/character_1_list_cleaned.txt,Books/Crime_and_Punishment/character_1_analysis_cleaned.txt
semyon zakharovich marmeladov,Books/Crime_and_Punishment/character_7_list_cleaned.txt,
arkady ivanovich svidrigailov,Books/Crime_and_Punishment/character_3_list_cleaned.txt,Books/Crime_and_Punishment/character_3_analysis_cleaned.txt
pyotr petrovich luzhin,Books/Crime_and_Punishment/character_9_list_cleaned.txt,
katerina ivanovna marmeladov,Books/Crime_and_Punishment/character_5_list_cleaned.txt,
"polina mikhailovna marmeladov (polya, polenka, polechka)",Books/Crime_and_Punishment/character_18_list_cleaned.txt,
ilya petrovich (gunpowder),Books/Crime_and_Punishment/character_15_list_cleaned.txt,
nikolai dementiev (mikolka),Books/Crime_and_Punishment/character_17_list_cleaned.txt,
"nastasya petrovna (nastenka, nastasyushka)",Books/Crime_and_Punishment/character_14_list_cleaned.txt,
alyona ivanovna,Books/Crime_and_Punishment/character_11_list_cleaned.txt,
"avdotya romanovna raskolnikov (dunya, dunechka)",Books/Crime_and_Punishment/character_2_list_cleaned.txt,Books/Crime_and_Punishment/character_2_analysis_cleaned.txt
porfiry petrovich,Books/Crime_and_Punishment/character_6_list_cleaned.txt,
pulcheria alexandrovna raskolnikov,Books/Crime_and_Punishment/character_8_list_cleaned.txt,
