characterName,listFile,analysisFile
caius lucius,Books/Cymbeline/character_11_list.txt,
cloten,Books/Cymbeline/character_4_list.txt,
cymbeline,Books/Cymbeline/character_2_list.txt,
philario,Books/Cymbeline/character_10_list.txt,
imogen,Books/Cymbeline/character_0_list.txt,
arviragus,Books/Cymbeline/character_9_list.txt,
iachimo,Books/Cymbeline/character_5_list.txt,
queen,Books/Cymbeline/character_3_list.txt,
posthumus,Books/Cymbeline/character_1_list.txt,
jupiter,Books/Cymbeline/character_14_list.txt,
soothsayer,Books/Cymbeline/character_13_list.txt,
belarius,Books/Cymbeline/character_7_list.txt,
guiderius,Books/Cymbeline/character_8_list.txt,
cornelius,Books/Cymbeline/character_12_list.txt,
pisanio,Books/Cymbeline/character_6_list.txt,
