characterName,listFile,analysisFile
doctor strong and annie strong,Books/David_Copperfield/character_14_list_cleaned.txt,
miss betsey trotwood,Books/David_Copperfield/character_6_list_cleaned.txt,
mr. and mrs. wilkins micawber,Books/David_Copperfield/character_8_list_cleaned.txt,
david copperfield,Books/David_Copperfield/character_0_list_cleaned.txt,Books/David_Copperfield/character_0_analysis_cleaned.txt
mrs. steerforth and rosa dartle,Books/David_Copperfield/character_12_list_cleaned.txt,
james steerforth,Books/David_Copperfield/character_2_list_cleaned.txt,Books/David_Copperfield/character_2_analysis_cleaned.txt
tommy traddles,Books/David_Copperfield/character_9_list_cleaned.txt,
mr. edward murdstone and miss jane murdstone,Books/David_Copperfield/character_11_list_cleaned.txt,
clara peggotty,Books/David_Copperfield/character_3_list_cleaned.txt,
little em'ly,Books/David_Copperfield/character_4_list_cleaned.txt,
dora spenlow,Books/David_Copperfield/character_7_list_cleaned.txt,
uriah heep,Books/David_Copperfield/character_5_list_cleaned.txt,Books/David_Copperfield/character_5_analysis_cleaned.txt
agnes wickfield,Books/David_Copperfield/character_1_list_cleaned.txt,
"mr. peggotty, ham, and mrs. gummidge",Books/David_Copperfield/character_13_list_cleaned.txt,
clara copperfield,Books/David_Copperfield/character_10_list_cleaned.txt,
