characterName,listFile,analysisFile
the pope,Books/Doctor_Faustus/character_14_list_cleaned.txt,
horse-courser,Books/Doctor_Faustus/character_12_list_cleaned.txt,
martino and frederick,Books/Doctor_Faustus/character_19_list_cleaned.txt,
mephastophilis,Books/Doctor_Faustus/character_1_list_cleaned.txt,Books/Doctor_Faustus/character_1_analysis_cleaned.txt
valdes and cornelius,Books/Doctor_Faustus/character_11_list_cleaned.txt,
faustus,Books/Doctor_Faustus/character_0_list_cleaned.txt,Books/Doctor_Faustus/character_0_analysis_cleaned.txt
evil angel,Books/Doctor_Faustus/character_5_list_cleaned.txt,
rafe,Books/Doctor_Faustus/character_10_list_cleaned.txt,
wagner,Books/Doctor_Faustus/character_7_list_cleaned.txt,
duke of vanholt,Books/Doctor_Faustus/character_18_list_cleaned.txt,
old man,Books/Doctor_Faustus/character_3_list_cleaned.txt,
clown,Books/Doctor_Faustus/character_8_list_cleaned.txt,
chorus,Books/Doctor_Faustus/character_2_list_cleaned.txt,
lucifer,Books/Doctor_Faustus/character_6_list_cleaned.txt,
bruno,Books/Doctor_Faustus/character_17_list_cleaned.txt,
the scholars,Books/Doctor_Faustus/character_13_list_cleaned.txt,
knight,Books/Doctor_Faustus/character_16_list_cleaned.txt,
good angel,Books/Doctor_Faustus/character_4_list_cleaned.txt,
robin,Books/Doctor_Faustus/character_9_list_cleaned.txt,
emperor charles v,Books/Doctor_Faustus/character_15_list_cleaned.txt,
