characterName,listFile,analysisFile
dorothea,Books/Don_Quixote/character_16_list_cleaned.txt,
cardenio,Books/Don_Quixote/character_13_list_cleaned.txt,
teresa panza,Books/Don_Quixote/character_12_list_cleaned.txt,
altisidora,Books/Don_Quixote/character_8_list_cleaned.txt,
dulcinea del toboso,Books/Don_Quixote/character_5_list_cleaned.txt,Books/Don_Quixote/character_5_analysis_cleaned.txt
the duke and duchess,Books/Don_Quixote/character_7_list_cleaned.txt,
lucinda,Books/Don_Quixote/character_14_list_cleaned.txt,
countess trifaldi,Books/Don_Quixote/character_17_list_cleaned.txt,
the barber,Books/Don_Quixote/character_11_list_cleaned.txt,
roque guinart,Books/Don_Quixote/character_19_list_cleaned.txt,
the priest,Books/Don_Quixote/character_10_list_cleaned.txt,
cervantes,Books/Don_Quixote/character_6_list_cleaned.txt,
gines de pasamonte,Books/Don_Quixote/character_18_list_cleaned.txt,
cide hamete benengeli,Books/Don_Quixote/character_4_list_cleaned.txt,
sancho panza,Books/Don_Quixote/character_1_list_cleaned.txt,Books/Don_Quixote/character_1_analysis_cleaned.txt
don quixote,Books/Don_Quixote/character_0_list_cleaned.txt,
dapple,Books/Don_Quixote/character_3_list_cleaned.txt,
rocinante,Books/Don_Quixote/character_2_list_cleaned.txt,
sampson carrasco,Books/Don_Quixote/character_9_list_cleaned.txt,
ferdinand,Books/Don_Quixote/character_15_list_cleaned.txt,
