characterName,listFile,analysisFile
nikolay nikolayevich vedenyapin (kolya),Books/Dr._Zhivago/character_2_list_cleaned.txt,
rodyon (rodya) fyodorovich guishar,Books/Dr._Zhivago/character_10_list_cleaned.txt,
yury andreyevich zhivago,Books/Dr._Zhivago/character_0_list_cleaned.txt,
larissa (lara) fyodorovna guishar (later antipova),Books/Dr._Zhivago/character_9_list_cleaned.txt,
amalia karlovna guishar,Books/Dr._Zhivago/character_8_list_cleaned.txt,
nicky dudorov,Books/Dr._Zhivago/character_3_list_cleaned.txt,
"nadya kologrigova, kologrigov",Books/Dr._Zhivago/character_18_list_cleaned.txt,
anfim yefimovitch samdevyatov,Books/Dr._Zhivago/character_14_list_cleaned.txt,
liberius avercievich mikulitsin,Books/Dr._Zhivago/character_16_list_cleaned.txt,
antonina (tonya) alexandrovna gromeko,Books/Dr._Zhivago/character_7_list_cleaned.txt,
anna ivanovna gromeko (nee krueger),Books/Dr._Zhivago/character_6_list_cleaned.txt,
avercius mikulitsin,Books/Dr._Zhivago/character_15_list_cleaned.txt,
alexander alexandrovich gromeko,Books/Dr._Zhivago/character_5_list_cleaned.txt,
iosif (yusupka) gimazetdinovich galiullin,Books/Dr._Zhivago/character_13_list_cleaned.txt,
misha gordon,Books/Dr._Zhivago/character_4_list_cleaned.txt,
marya nikolayevna zhivago,Books/Dr._Zhivago/character_1_list_cleaned.txt,
victor ippolitovich komarovsky,Books/Dr._Zhivago/character_11_list_cleaned.txt,
pavel pavlovich antipov or strelnikov,Books/Dr._Zhivago/character_12_list_cleaned.txt,
kuprik tiverzin,Books/Dr._Zhivago/character_17_list_cleaned.txt,
