characterName,listFile,analysisFile
mrs. westenra,Books/Dracula/character_9_list.txt,
count dracula,Books/Dracula/character_0_list.txt,Books/Dracula/character_0_analysis.txt
lucy westenra,Books/Dracula/character_4_list.txt,Books/Dracula/character_4_analysis.txt
arthur holmwood,Books/Dracula/character_6_list.txt,
mina murray,Books/Dracula/character_3_list.txt,Books/Dracula/character_3_analysis.txt
van helsing,Books/Dracula/character_1_list.txt,Books/Dracula/character_1_analysis.txt
jonathan harker,Books/Dracula/character_2_list.txt,
john seward,Books/Dracula/character_5_list.txt,
quincey morris,Books/Dracula/character_7_list.txt,
renfield,Books/Dracula/character_8_list.txt,
