characterName,listFile,analysisFile
kate morkan,Books/Dubliners/character_33_list_cleaned.txt,
mrs. mooney,Books/Dubliners/character_11_list_cleaned.txt,
mr. doran,Books/Dubliners/character_12_list_cleaned.txt,
mat o'connor,Books/Dubliners/character_21_list_cleaned.txt,
father flynn,Books/Dubliners/character_1_list_cleaned.txt,
farrington,Books/Dubliners/character_15_list_cleaned.txt,
mahony,Books/Dubliners/character_4_list_cleaned.txt,
joe hynes,Books/Dubliners/character_22_list_cleaned.txt,
gabriel conroy,Books/Dubliners/character_28_list_cleaned.txt,
"""the sisters"" narrator",Books/Dubliners/character_0_list_cleaned.txt,
old cotter,Books/Dubliners/character_2_list_cleaned.txt,
michael furey,Books/Dubliners/character_34_list_cleaned.txt,
mr. holohan,Books/Dubliners/character_25_list_cleaned.txt,
julia morkan,Books/Dubliners/character_32_list_cleaned.txt,
"""an encounter"" narrator",Books/Dubliners/character_3_list_cleaned.txt,
eveline,Books/Dubliners/character_7_list_cleaned.txt,
corley,Books/Dubliners/character_10_list_cleaned.txt,
little chandler,Books/Dubliners/character_14_list_cleaned.txt,
joe donnelly,Books/Dubliners/character_18_list_cleaned.txt,
mr. alleyne,Books/Dubliners/character_16_list_cleaned.txt,
jack power,Books/Dubliners/character_27_list_cleaned.txt,
mangan's sister,Books/Dubliners/character_6_list_cleaned.txt,
mrs. sinico,Books/Dubliners/character_20_list_cleaned.txt,
mrs. kearney,Books/Dubliners/character_24_list_cleaned.txt,
molly ivors,Books/Dubliners/character_31_list_cleaned.txt,
maria,Books/Dubliners/character_17_list_cleaned.txt,
jimmy doyle,Books/Dubliners/character_8_list_cleaned.txt,
mr. duffy,Books/Dubliners/character_19_list_cleaned.txt,
john henchy,Books/Dubliners/character_23_list_cleaned.txt,
tom kernan,Books/Dubliners/character_26_list_cleaned.txt,
lenehan,Books/Dubliners/character_9_list_cleaned.txt,
lily,Books/Dubliners/character_30_list_cleaned.txt,
"""araby"" narrator",Books/Dubliners/character_5_list_cleaned.txt,Books/Dubliners/character_5_analysis_cleaned.txt
gallaher,Books/Dubliners/character_13_list_cleaned.txt,
gretta conroy,Books/Dubliners/character_29_list_cleaned.txt,
