characterName,listFile,analysisFile
jane fairfax,Books/Emma/character_5_list_cleaned.txt,Books/Emma/character_5_analysis_cleaned.txt
harriet smith,Books/Emma/character_3_list_cleaned.txt,
mrs. churchill,Books/Emma/character_14_list_cleaned.txt,
frank churchill,Books/Emma/character_4_list_cleaned.txt,Books/Emma/character_4_analysis_cleaned.txt
miss bates,Books/Emma/character_10_list_cleaned.txt,
mrs. dixon,Books/Emma/character_16_list_cleaned.txt,
mr. weston,Books/Emma/character_7_list_cleaned.txt,
mr. elton,Books/Emma/character_8_list_cleaned.txt,
emma woodhouse,Books/Emma/character_0_list_cleaned.txt,Books/Emma/character_0_analysis_cleaned.txt
mrs. bates,Books/Emma/character_19_list_cleaned.txt,
mr. robert martin,Books/Emma/character_9_list_cleaned.txt,
mrs. elton,Books/Emma/character_13_list_cleaned.txt,
elizabeth martin,Books/Emma/character_21_list_cleaned.txt,
mrs. weston,Books/Emma/character_6_list_cleaned.txt,
mr. woodhouse,Books/Emma/character_2_list_cleaned.txt,
isabella knightley,Books/Emma/character_11_list_cleaned.txt,
mr. john knightley,Books/Emma/character_12_list_cleaned.txt,
mr. perry,Books/Emma/character_20_list_cleaned.txt,
mr. george knightley,Books/Emma/character_1_list_cleaned.txt,
colonel campbell,Books/Emma/character_15_list_cleaned.txt,
mrs. goddard,Books/Emma/character_18_list_cleaned.txt,
mr. dixon,Books/Emma/character_17_list_cleaned.txt,
mr. and mrs. cole,Books/Emma/character_22_list_cleaned.txt,
