characterName,listFile,analysisFile
mrs. ned hale,Books/Ethan_Frome/character_5_list_cleaned.txt,
zenobia frome,Books/Ethan_Frome/character_1_list_cleaned.txt,
jotham powell,Books/Ethan_Frome/character_9_list_cleaned.txt,
andrew hale,Books/Ethan_Frome/character_7_list_cleaned.txt,
denis eady,Books/Ethan_Frome/character_4_list_cleaned.txt,
mrs. andrew hale,Books/Ethan_Frome/character_8_list_cleaned.txt,
the narrator,Books/Ethan_Frome/character_3_list_cleaned.txt,
mattie silver,Books/Ethan_Frome/character_2_list_cleaned.txt,Books/Ethan_Frome/character_2_analysis_cleaned.txt
ned hale,Books/Ethan_Frome/character_6_list_cleaned.txt,
harmon gow,Books/Ethan_Frome/character_10_list_cleaned.txt,
ethan frome,Books/Ethan_Frome/character_0_list_cleaned.txt,Books/Ethan_Frome/character_0_analysis_cleaned.txt
