characterName,listFile,analysisFile
jan coggan,Books/Far_from_the_Madding_Crowd/character_6_list.txt,
sergeant francis (frank) troy,Books/Far_from_the_Madding_Crowd/character_2_list.txt,
fanny robin,Books/Far_from_the_Madding_Crowd/character_4_list.txt,
pennyways,Books/Far_from_the_Madding_Crowd/character_9_list.txt,
joseph poorgrass,Books/Far_from_the_Madding_Crowd/character_7_list.txt,
gabriel oak,Books/Far_from_the_Madding_Crowd/character_0_list.txt,
liddy smallbury,Books/Far_from_the_Madding_Crowd/character_5_list.txt,
cainy ball,Books/Far_from_the_Madding_Crowd/character_8_list.txt,
bathsheba everdene,Books/Far_from_the_Madding_Crowd/character_1_list.txt,
william boldwood,Books/Far_from_the_Madding_Crowd/character_3_list.txt,
