characterName,listFile,analysisFile
the convict,Books/Hound_of_the_Baskervilles/character_10_list_cleaned.txt,
sir hugo baskerville,Books/Hound_of_the_Baskervilles/character_4_list_cleaned.txt,
mortimer,Books/Hound_of_the_Baskervilles/character_5_list_cleaned.txt,
laura lyons,Books/Hound_of_the_Baskervilles/character_9_list_cleaned.txt,
sir charles baskerville,Books/Hound_of_the_Baskervilles/character_3_list_cleaned.txt,
mr. jack stapleton,Books/Hound_of_the_Baskervilles/character_6_list_cleaned.txt,Books/Hound_of_the_Baskervilles/character_6_analysis_cleaned.txt
mr. john barrymore and mrs. eliza barrymore,Books/Hound_of_the_Baskervilles/character_8_list_cleaned.txt,
miss stapleton,Books/Hound_of_the_Baskervilles/character_7_list_cleaned.txt,
dr. watson,Books/Hound_of_the_Baskervilles/character_1_list_cleaned.txt,Books/Hound_of_the_Baskervilles/character_1_analysis_cleaned.txt
mr. frankland,Books/Hound_of_the_Baskervilles/character_11_list_cleaned.txt,
sir henry baskerville,Books/Hound_of_the_Baskervilles/character_2_list_cleaned.txt,
sherlock holmes,Books/Hound_of_the_Baskervilles/character_0_list_cleaned.txt,Books/Hound_of_the_Baskervilles/character_0_analysis_cleaned.txt
