characterName,listFile,analysisFile
ruth wilcox,Books/Howards_End/character_4_list_cleaned.txt,
jacky bast,Books/Howards_End/character_10_list_cleaned.txt,
aunt juley mund,Books/Howards_End/character_7_list_cleaned.txt,
henry wilcox,Books/Howards_End/character_1_list_cleaned.txt,
leonard bast,Books/Howards_End/character_3_list_cleaned.txt,
margaret schlegel,Books/Howards_End/character_0_list_cleaned.txt,
evie wilcox,Books/Howards_End/character_11_list_cleaned.txt,
charles wilcox,Books/Howards_End/character_5_list_cleaned.txt,
helen schlegel,Books/Howards_End/character_2_list_cleaned.txt,
frieda mosebach,Books/Howards_End/character_14_list_cleaned.txt,
percy cahill,Books/Howards_End/character_13_list_cleaned.txt,
theobald (tibby) schlegel,Books/Howards_End/character_6_list_cleaned.txt,
paul wilcox,Books/Howards_End/character_9_list_cleaned.txt,
dolly wilcox,Books/Howards_End/character_8_list_cleaned.txt,
miss avery,Books/Howards_End/character_12_list_cleaned.txt,
