characterName,listFile,analysisFile
sister gudule,Books/Hunchback_of_Notre_Dame/character_5_list.txt,
master florian barbedienne,Books/Hunchback_of_Notre_Dame/character_11_list.txt,
quasimodo,Books/Hunchback_of_Notre_Dame/character_0_list.txt,
la esmerelda,Books/Hunchback_of_Notre_Dame/character_2_list.txt,
archdeacon claude frollo,Books/Hunchback_of_Notre_Dame/character_1_list.txt,
clopin trouillefou,Books/Hunchback_of_Notre_Dame/character_7_list.txt,
fleur-de-lys de gondelaurier,Books/Hunchback_of_Notre_Dame/character_10_list.txt,
djali,Books/Hunchback_of_Notre_Dame/character_9_list.txt,
phoebus de chateaupers,Books/Hunchback_of_Notre_Dame/character_4_list.txt,
pierre gringoire,Books/Hunchback_of_Notre_Dame/character_3_list.txt,
master jacques charmolue,Books/Hunchback_of_Notre_Dame/character_12_list.txt,
louis xi,Books/Hunchback_of_Notre_Dame/character_8_list.txt,
jehan frollo,Books/Hunchback_of_Notre_Dame/character_6_list.txt,
