characterName,listFile,analysisFile
benny and ellen,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_6_list.txt,
young mrs. flint,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_18_list.txt,
mr. sands,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_4_list.txt,
aggie,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_14_list.txt,
linda brent,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_0_list.txt,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_0_analysis.txt
mrs. flint,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_3_list.txt,
peter,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_10_list.txt,
aunt martha,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_2_list.txt,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_2_analysis.txt
emily flint,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_15_list.txt,
aunt nancy,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_9_list.txt,
miss fanny,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_27_list.txt,
mrs. bruce (#1),Books/Incidents_in_the_Life_of_a_Slave_Girl/character_21_list.txt,
dr. flint,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_1_list.txt,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_1_analysis.txt
uncle benjamin,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_5_list.txt,
mr. dodge,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_16_list.txt,
luke,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_28_list.txt,
william,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_8_list.txt,
mrs. hobbs,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_19_list.txt,
nicholas flint,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_17_list.txt,
mr. thorne,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_20_list.txt,
sally,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_13_list.txt,
uncle phillip,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_7_list.txt,
"the ""white benefactress""",Books/Incidents_in_the_Life_of_a_Slave_Girl/character_11_list.txt,
mrs. bruce (#2),Books/Incidents_in_the_Life_of_a_Slave_Girl/character_23_list.txt,
reverend and mrs. durham,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_25_list.txt,
mr. bruce,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_22_list.txt,
amy and isaac post,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_24_list.txt,
fanny,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_26_list.txt,
betty,Books/Incidents_in_the_Life_of_a_Slave_Girl/character_12_list.txt,
