characterName,listFile,analysisFile
antaeus,Books/Inferno/character_18_list_cleaned.txt,
pier della vigna,Books/Inferno/character_12_list_cleaned.txt,
paolo and francesca da rimini,Books/Inferno/character_4_list_cleaned.txt,
ulysses,Books/Inferno/character_16_list_cleaned.txt,
fra alberigo and branca d'oria,Books/Inferno/character_20_list_cleaned.txt,
geryon,Books/Inferno/character_13_list_cleaned.txt,
phlegyas,Books/Inferno/character_9_list_cleaned.txt,
pope boniface viii,Books/Inferno/character_7_list_cleaned.txt,
beatrice,Books/Inferno/character_2_list_cleaned.txt,
count ugolino,Books/Inferno/character_19_list_cleaned.txt,
dante,Books/Inferno/character_0_list_cleaned.txt,
charon,Books/Inferno/character_3_list_cleaned.txt,
virgil,Books/Inferno/character_1_list_cleaned.txt,Books/Inferno/character_1_analysis_cleaned.txt
guido da montefeltro,Books/Inferno/character_17_list_cleaned.txt,
lucifer,Books/Inferno/character_5_list_cleaned.txt,
vanni fucci,Books/Inferno/character_15_list_cleaned.txt,
malacoda,Books/Inferno/character_14_list_cleaned.txt,
nessus,Books/Inferno/character_11_list_cleaned.txt,
filippo argenti,Books/Inferno/character_10_list_cleaned.txt,
farinata,Books/Inferno/character_8_list_cleaned.txt,
minos,Books/Inferno/character_6_list_cleaned.txt,
