characterName,listFile,analysisFile
rontu-aru,Books/Island_of_the_Blue_Dolphins/character_14_list.txt,
rontu,Books/Island_of_the_Blue_Dolphins/character_1_list.txt,
captain orlov,Books/Island_of_the_Blue_Dolphins/character_7_list.txt,
matasaip,Books/Island_of_the_Blue_Dolphins/character_9_list.txt,
chowig,Books/Island_of_the_Blue_Dolphins/character_6_list.txt,
tutok,Books/Island_of_the_Blue_Dolphins/character_2_list.txt,
lurai,Books/Island_of_the_Blue_Dolphins/character_12_list.txt,
tainor,Books/Island_of_the_Blue_Dolphins/character_11_list.txt,
the white men,Books/Island_of_the_Blue_Dolphins/character_15_list.txt,
kimki,Books/Island_of_the_Blue_Dolphins/character_8_list.txt,
ulape,Books/Island_of_the_Blue_Dolphins/character_5_list.txt,
mon-a-nee (won-a-nee),Books/Island_of_the_Blue_Dolphins/character_13_list.txt,
ramo (tanyositlopai),Books/Island_of_the_Blue_Dolphins/character_3_list.txt,
nanko,Books/Island_of_the_Blue_Dolphins/character_10_list.txt,
the aleuts,Books/Island_of_the_Blue_Dolphins/character_4_list.txt,
karana (won-a-pa-lei),Books/Island_of_the_Blue_Dolphins/character_0_list.txt,Books/Island_of_the_Blue_Dolphins/character_0_analysis.txt
