characterName,listFile,analysisFile
gurth,Books/Ivanhoe/character_12_list_cleaned.txt,
locksley,Books/Ivanhoe/character_7_list_cleaned.txt,
oswald,Books/Ivanhoe/character_15_list_cleaned.txt,
maurice de bracy,Books/Ivanhoe/character_8_list_cleaned.txt,
lucas beaumanoir,Books/Ivanhoe/character_19_list_cleaned.txt,
rebecca,Books/Ivanhoe/character_3_list_cleaned.txt,
the black knight,Books/Ivanhoe/character_23_list_cleaned.txt,
ulrica,Books/Ivanhoe/character_18_list_cleaned.txt,
athelstane,Books/Ivanhoe/character_16_list_cleaned.txt,
isaac of york,Books/Ivanhoe/character_10_list_cleaned.txt,
prince john,Books/Ivanhoe/character_5_list_cleaned.txt,
the disinherited knight,Books/Ivanhoe/character_22_list_cleaned.txt,
wilfred of ivanhoe,Books/Ivanhoe/character_0_list_cleaned.txt,
albert malvoisin,Books/Ivanhoe/character_20_list_cleaned.txt,
the palmer,Books/Ivanhoe/character_21_list_cleaned.txt,
waldemar fitzurse,Books/Ivanhoe/character_11_list_cleaned.txt,
the friar,Books/Ivanhoe/character_17_list_cleaned.txt,
brian de bois-guilbert,Books/Ivanhoe/character_6_list_cleaned.txt,
wamba,Books/Ivanhoe/character_13_list_cleaned.txt,
reginald front-de-boeuf,Books/Ivanhoe/character_9_list_cleaned.txt,
cedric the saxon,Books/Ivanhoe/character_4_list_cleaned.txt,
prior aymer,Books/Ivanhoe/character_14_list_cleaned.txt,
lady rowena,Books/Ivanhoe/character_2_list_cleaned.txt,
king richard i,Books/Ivanhoe/character_1_list_cleaned.txt,
