characterName,listFile,analysisFile
georgiana reed,Books/Jane_Eyre/character_6_list_cleaned.txt,
rosamond oliver,Books/Jane_Eyre/character_24_list_cleaned.txt,
celine varens,Books/Jane_Eyre/character_17_list_cleaned.txt,
eliza reed,Books/Jane_Eyre/character_7_list_cleaned.txt,
st. john rivers,Books/Jane_Eyre/character_2_list_cleaned.txt,Books/Jane_Eyre/character_2_analysis_cleaned.txt
john reed,Books/Jane_Eyre/character_8_list_cleaned.txt,
bertha mason,Books/Jane_Eyre/character_14_list_cleaned.txt,
blanche ingram,Books/Jane_Eyre/character_21_list_cleaned.txt,
miss scatcherd,Books/Jane_Eyre/character_12_list_cleaned.txt,
adele varens,Books/Jane_Eyre/character_16_list_cleaned.txt,
mr. briggs,Books/Jane_Eyre/character_20_list_cleaned.txt,
bessie lee,Books/Jane_Eyre/character_4_list_cleaned.txt,
mrs. reed,Books/Jane_Eyre/character_3_list_cleaned.txt,
mary rivers,Books/Jane_Eyre/character_23_list_cleaned.txt,
jane eyre,Books/Jane_Eyre/character_0_list_cleaned.txt,Books/Jane_Eyre/character_0_analysis_cleaned.txt
maria temple,Books/Jane_Eyre/character_11_list_cleaned.txt,
john eyre,Books/Jane_Eyre/character_25_list_cleaned.txt,
diana rivers,Books/Jane_Eyre/character_22_list_cleaned.txt,
mr. brocklehurst,Books/Jane_Eyre/character_10_list_cleaned.txt,
richard mason,Books/Jane_Eyre/character_19_list_cleaned.txt,
helen burns,Books/Jane_Eyre/character_9_list_cleaned.txt,Books/Jane_Eyre/character_9_analysis_cleaned.txt
alice fairfax,Books/Jane_Eyre/character_13_list_cleaned.txt,
edward rochester,Books/Jane_Eyre/character_1_list_cleaned.txt,Books/Jane_Eyre/character_1_analysis_cleaned.txt
grace poole,Books/Jane_Eyre/character_15_list_cleaned.txt,
sophie,Books/Jane_Eyre/character_18_list_cleaned.txt,
mr. lloyd,Books/Jane_Eyre/character_5_list_cleaned.txt,
uncle reed,Books/Jane_Eyre/character_26_list_cleaned.txt,
