characterName,listFile,analysisFile
ed regis,Books/Jurassic_Park/character_10_list.txt,
dr. ellie sattler,Books/Jurassic_Park/character_7_list.txt,
bob morris,Books/Jurassic_Park/character_13_list.txt,
dr. alan grant,Books/Jurassic_Park/character_0_list.txt,Books/Jurassic_Park/character_0_analysis.txt
john hammond,Books/Jurassic_Park/character_1_list.txt,Books/Jurassic_Park/character_1_analysis.txt
dr. harding,Books/Jurassic_Park/character_12_list.txt,
dr. henry wu,Books/Jurassic_Park/character_8_list.txt,
dennis nedry,Books/Jurassic_Park/character_5_list.txt,
"dr. roberta ""bobbie"" carter",Books/Jurassic_Park/character_14_list.txt,
robert muldoon,Books/Jurassic_Park/character_9_list.txt,
dr. cruz,Books/Jurassic_Park/character_17_list.txt,
john arnold,Books/Jurassic_Park/character_11_list.txt,
"mike, ellen, and tina bowman",Books/Jurassic_Park/character_16_list.txt,
lewis dodgson,Books/Jurassic_Park/character_22_list.txt,
dr. simpson,Books/Jurassic_Park/character_19_list.txt,
dr. richard stone,Books/Jurassic_Park/character_20_list.txt,
tim murphy,Books/Jurassic_Park/character_3_list.txt,Books/Jurassic_Park/character_3_analysis.txt
dr. ian malcolm,Books/Jurassic_Park/character_2_list.txt,
alice levin,Books/Jurassic_Park/character_21_list.txt,
donald gennaro,Books/Jurassic_Park/character_6_list.txt,
manuel,Books/Jurassic_Park/character_15_list.txt,
dr. guitierrez,Books/Jurassic_Park/character_18_list.txt,
lex murphy,Books/Jurassic_Park/character_4_list.txt,
