characterName,listFile,analysisFile
pembroke,Books/King_John/character_9_list.txt,
bigot,Books/King_John/character_14_list.txt,
chatillon,Books/King_John/character_18_list.txt,
lady falconbridge,Books/King_John/character_17_list.txt,
louis,Books/King_John/character_5_list.txt,
melun,Books/King_John/character_15_list.txt,
pandolf,Books/King_John/character_6_list.txt,
austria,Books/King_John/character_11_list.txt,
essex,Books/King_John/character_13_list.txt,
blanche,Books/King_John/character_12_list.txt,
eleanor,Books/King_John/character_1_list.txt,
arthur,Books/King_John/character_3_list.txt,
falconbridge,Books/King_John/character_16_list.txt,
king john,Books/King_John/character_0_list.txt,
hubert,Books/King_John/character_7_list.txt,
the bastard,Books/King_John/character_4_list.txt,
prince henry,Books/King_John/character_19_list.txt,
philip,Books/King_John/character_2_list.txt,
constance,Books/King_John/character_8_list.txt,
salisbury,Books/King_John/character_10_list.txt,
