characterName,listFile,analysisFile
fool,Books/King_Lear/character_10_list.txt,
albany,Books/King_Lear/character_8_list.txt,
king lear,Books/King_Lear/character_0_list.txt,Books/King_Lear/character_0_list.txt
cornwall,Books/King_Lear/character_9_list.txt,
cordelia,Books/King_Lear/character_1_list.txt,Books/King_Lear/character_1_list.txt
edgar,Books/King_Lear/character_5_list.txt,
goneril,Books/King_Lear/character_2_list.txt,
edmund,Books/King_Lear/character_6_list.txt,Books/King_Lear/character_6_list.txt
kent,Books/King_Lear/character_7_list.txt,
oswald,Books/King_Lear/character_11_list.txt,
regan,Books/King_Lear/character_3_list.txt,
gloucester,Books/King_Lear/character_4_list.txt,
