characterName,listFile,analysisFile
"rosaline, maria, katherine",Books/Loves_Labours_Lost/character_3_list_cleaned.txt,
mote,Books/Loves_Labours_Lost/character_6_list_cleaned.txt,
princess of france,Books/Loves_Labours_Lost/character_2_list_cleaned.txt,
"berowne, longaville, dumaine",Books/Loves_Labours_Lost/character_1_list_cleaned.txt,
jaquenetta,Books/Loves_Labours_Lost/character_8_list_cleaned.txt,
mercade,Books/Loves_Labours_Lost/character_11_list_cleaned.txt,
boyet,Books/Loves_Labours_Lost/character_4_list_cleaned.txt,
costard,Books/Loves_Labours_Lost/character_7_list_cleaned.txt,
"ferdinand, king of navarre",Books/Loves_Labours_Lost/character_0_list_cleaned.txt,
"sir nathaniel, holofernes",Books/Loves_Labours_Lost/character_9_list_cleaned.txt,
dull,Books/Loves_Labours_Lost/character_10_list_cleaned.txt,
don armado,Books/Loves_Labours_Lost/character_5_list_cleaned.txt,
