characterName,listFile,analysisFile
lucio,Books/Measure_for_Measure/character_5_list.txt,
the duke,Books/Measure_for_Measure/character_1_list.txt,
isabella,Books/Measure_for_Measure/character_0_list.txt,
mariana,Books/Measure_for_Measure/character_6_list.txt,
escalus,Books/Measure_for_Measure/character_4_list.txt,
claudio,Books/Measure_for_Measure/character_2_list.txt,
pompey,Books/Measure_for_Measure/character_8_list.txt,
mistress overdone,Books/Measure_for_Measure/character_7_list.txt,
provost,Books/Measure_for_Measure/character_9_list.txt,
elbow,Books/Measure_for_Measure/character_10_list.txt,
juliet,Books/Measure_for_Measure/character_12_list.txt,
lord angelo,Books/Measure_for_Measure/character_3_list.txt,
barnadine,Books/Measure_for_Measure/character_11_list.txt,
