characterName,listFile,analysisFile
ursula,Books/Much_Ado_About_Nothing/character_14_list.txt,
borachio,Books/Much_Ado_About_Nothing/character_8_list.txt,
hero,Books/Much_Ado_About_Nothing/character_3_list.txt,
dogberry,Books/Much_Ado_About_Nothing/character_10_list.txt,
beatrice,Books/Much_Ado_About_Nothing/character_0_list.txt,Books/Much_Ado_About_Nothing/character_0_list.txt
verges,Books/Much_Ado_About_Nothing/character_11_list.txt,
claudio,Books/Much_Ado_About_Nothing/character_2_list.txt,
antonio,Books/Much_Ado_About_Nothing/character_12_list.txt,
margaret,Books/Much_Ado_About_Nothing/character_7_list.txt,
leonato,Books/Much_Ado_About_Nothing/character_5_list.txt,
don pedro,Books/Much_Ado_About_Nothing/character_4_list.txt,
don john,Books/Much_Ado_About_Nothing/character_6_list.txt,
benedick,Books/Much_Ado_About_Nothing/character_1_list.txt,Books/Much_Ado_About_Nothing/character_1_list.txt
conrad,Books/Much_Ado_About_Nothing/character_9_list.txt,
balthasar,Books/Much_Ado_About_Nothing/character_13_list.txt,
