characterName,listFile,analysisFile
michael cassio,Books/Othello/character_3_list.txt,
bianca,Books/Othello/character_6_list.txt,
roderigo,Books/Othello/character_5_list.txt,
duke of venice,Books/Othello/character_8_list.txt,
clown,Books/Othello/character_12_list.txt,
graziano,Books/Othello/character_11_list.txt,
iago,Books/Othello/character_2_list.txt,Books/Othello/character_2_list.txt
lodovico,Books/Othello/character_10_list.txt,
othello,Books/Othello/character_0_list.txt,Books/Othello/character_0_list.txt
brabanzio,Books/Othello/character_7_list.txt,
emilia,Books/Othello/character_4_list.txt,
desdemona,Books/Othello/character_1_list.txt,Books/Othello/character_1_list.txt
montano,Books/Othello/character_9_list.txt,
