characterName,listFile,analysisFile
lords,Books/Pericles/character_25_list.txt,
shipmaster,Books/Pericles/character_24_list.txt,
boult,Books/Pericles/character_22_list.txt,
thaliart,Books/Pericles/character_3_list.txt,
diana,Books/Pericles/character_23_list.txt,
john gower,Books/Pericles/character_0_list.txt,
philomon,Books/Pericles/character_15_list.txt,
cleon,Books/Pericles/character_7_list.txt,
simonides,Books/Pericles/character_9_list.txt,
lysimachus,Books/Pericles/character_16_list.txt,
lychordia,Books/Pericles/character_13_list.txt,
thaisa,Books/Pericles/character_10_list.txt,
pander,Books/Pericles/character_17_list.txt,
helicanus,Books/Pericles/character_5_list.txt,
cerimon,Books/Pericles/character_14_list.txt,
dionyza,Books/Pericles/character_8_list.txt,
antiochus,Books/Pericles/character_1_list.txt,
master,Books/Pericles/character_20_list.txt,
leonine,Books/Pericles/character_12_list.txt,
bawd,Books/Pericles/character_18_list.txt,
marina,Books/Pericles/character_11_list.txt,
pericles,Books/Pericles/character_4_list.txt,
antiochus's daughter,Books/Pericles/character_2_list.txt,
aeschines,Books/Pericles/character_6_list.txt,
fishermen,Books/Pericles/character_19_list.txt,
knights,Books/Pericles/character_21_list.txt,
