characterName,listFile,analysisFile
frith,Books/Rebecca/character_12_list.txt,
clarice,Books/Rebecca/character_13_list.txt,
ben,Books/Rebecca/character_8_list.txt,
mrs. danvers,Books/Rebecca/character_3_list.txt,
jack favell,Books/Rebecca/character_4_list.txt,
frank crawley,Books/Rebecca/character_5_list.txt,
beatrice,Books/Rebecca/character_6_list.txt,
lady crowan,Books/Rebecca/character_10_list.txt,
the heroine,Books/Rebecca/character_0_list.txt,
jasper,Books/Rebecca/character_14_list.txt,
colonel julyan,Books/Rebecca/character_9_list.txt,
rebecca,Books/Rebecca/character_2_list.txt,
baker,Books/Rebecca/character_11_list.txt,
mrs. van hopper,Books/Rebecca/character_7_list.txt,
maxim de winter,Books/Rebecca/character_1_list.txt,
