characterName,listFile,analysisFile
abbot of westminster,Books/Richard_II/character_16_list.txt,
sir piers exton,Books/Richard_II/character_17_list.txt,
bishop of carlisle,Books/Richard_II/character_14_list.txt,
lord salisbury,Books/Richard_II/character_13_list.txt,
lord berkeley,Books/Richard_II/character_12_list.txt,
henry percy earl of northumberland; lord ross; and lord willoughby,Books/Richard_II/character_7_list.txt,
thomas mowbray duke of norfolk,Books/Richard_II/character_5_list.txt,
lord fitzwater,Books/Richard_II/character_18_list.txt,
john of gaunt duke of lancaster,Books/Richard_II/character_2_list.txt,
queen isabel,Books/Richard_II/character_10_list.txt,
henry bolingbroke duke of herford,Books/Richard_II/character_1_list.txt,
the duke of aumerle,Books/Richard_II/character_4_list.txt,
sir stephen scroope,Books/Richard_II/character_15_list.txt,
edmund of langley duke of york,Books/Richard_II/character_3_list.txt,
duchess of york,Books/Richard_II/character_8_list.txt,
king richard ii,Books/Richard_II/character_0_list.txt,
"bushy, bagot, and green (also called greene)",Books/Richard_II/character_6_list.txt,
duchess of gloucester,Books/Richard_II/character_9_list.txt,
"thomas percy, earl of worcester",Books/Richard_II/character_11_list.txt,
