characterName,listFile,analysisFile
vaughan,Books/Richard_III/character_17_list_cleaned.txt,
richmond,Books/Richard_III/character_13_list_cleaned.txt,
margaret,Books/Richard_III/character_8_list_cleaned.txt,Books/Richard_III/character_8_list_cleaned.txt
clarence,Books/Richard_III/character_3_list_cleaned.txt,
richard,Books/Richard_III/character_0_list_cleaned.txt,
king edward iv,Books/Richard_III/character_2_list_cleaned.txt,
the princes,Books/Richard_III/character_9_list_cleaned.txt,Books/Richard_III/character_9_list_cleaned.txt
lord mayor of london,Books/Richard_III/character_16_list_cleaned.txt,
"ratcliffe, catesby",Books/Richard_III/character_11_list_cleaned.txt,
"dorset, rivers, and gray",Books/Richard_III/character_5_list_cleaned.txt,
buckingham,Books/Richard_III/character_1_list_cleaned.txt,
queen elizabeth,Books/Richard_III/character_4_list_cleaned.txt,
duchess of york,Books/Richard_III/character_7_list_cleaned.txt,
stanley,Books/Richard_III/character_15_list_cleaned.txt,
anne,Books/Richard_III/character_6_list_cleaned.txt,
young elizabeth,Books/Richard_III/character_10_list_cleaned.txt,
tyrrell,Books/Richard_III/character_12_list_cleaned.txt,
hastings,Books/Richard_III/character_14_list_cleaned.txt,
