characterName,listFile,analysisFile
mr. jamison,Books/Roll_of_Thunder_Hear_My_Cry/character_13_list_cleaned.txt,
jeremy simms,Books/Roll_of_Thunder_Hear_My_Cry/character_9_list_cleaned.txt,
"the wallace family (kaleb, dewberry, etc.)",Books/Roll_of_Thunder_Hear_My_Cry/character_14_list_cleaned.txt,
melvin and r. w. simms,Books/Roll_of_Thunder_Hear_My_Cry/character_11_list_cleaned.txt,
mama (mary logan),Books/Roll_of_Thunder_Hear_My_Cry/character_5_list_cleaned.txt,
lillian jean simms,Books/Roll_of_Thunder_Hear_My_Cry/character_10_list_cleaned.txt,
uncle hammer,Books/Roll_of_Thunder_Hear_My_Cry/character_6_list_cleaned.txt,
l. t. morrison,Books/Roll_of_Thunder_Hear_My_Cry/character_12_list_cleaned.txt,
t. j. avery,Books/Roll_of_Thunder_Hear_My_Cry/character_8_list_cleaned.txt,
little man (clayton chester logan),Books/Roll_of_Thunder_Hear_My_Cry/character_1_list_cleaned.txt,
cassie logan,Books/Roll_of_Thunder_Hear_My_Cry/character_0_list_cleaned.txt,
stacey logan,Books/Roll_of_Thunder_Hear_My_Cry/character_2_list_cleaned.txt,
harlan granger,Books/Roll_of_Thunder_Hear_My_Cry/character_15_list_cleaned.txt,
papa (david logan),Books/Roll_of_Thunder_Hear_My_Cry/character_4_list_cleaned.txt,
big ma (caroline logan),Books/Roll_of_Thunder_Hear_My_Cry/character_7_list_cleaned.txt,
christopher-john,Books/Roll_of_Thunder_Hear_My_Cry/character_3_list_cleaned.txt,
